"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"926",926,1,1,6,2
"927",927,5,2,1,2
"928",928,1,1,6,2
"929",929,1,2,1,2
"930",930,1,1,1,1
"931",931,1,1,4,1
"932",932,2,1,4,1
"933",933,5,2,4,2
"934",934,1,2,5,2
"935",935,1,1,3,2
"936",936,7,2,4,2
"937",937,1,1,2,1
"938",938,1,2,5,1
"939",939,1,2,1,1
"940",940,2,1,4,1
"941",941,1,2,2,1
"942",942,1,1,1,2
"943",943,2,2,1,2
"944",944,5,2,3,2
"945",945,1,2,1,2
"946",946,7,2,3,1
"947",947,1,1,4,2
"948",948,1,2,4,1
"949",949,7,2,2,1
"950",950,1,1,1,2
"951",951,1,1,1,1
"952",952,1,1,4,1
"953",953,1,1,1,2
"954",954,7,2,4,2
"955",955,1,1,1,2
"956",956,1,2,3,2
"957",957,1,1,2,1
"958",958,1,2,5,1
"959",959,7,1,2,2
"960",960,1,2,4,2
"961",961,1,2,1,2
"962",962,7,1,3,2
"963",963,1,1,3,1
"964",964,1,1,5,2
"965",965,1,2,1,2
"966",966,2,2,1,2
"967",967,7,1,2,2
"968",968,7,1,1,2
"969",969,1,2,3,1
"970",970,2,1,1,2
"971",971,1,2,3,1
"972",972,1,2,4,1
"973",973,1,2,1,1
"974",974,1,1,5,1
"975",975,1,2,1,2
"976",976,1,1,2,1
"977",977,1,1,6,2
"978",978,1,2,1,2
"979",979,7,2,1,1
"980",980,6,1,2,1
"981",981,1,2,2,2
"982",982,1,2,1,2
"983",983,7,1,4,1
"984",984,1,2,2,1
"985",985,1,1,5,2
"986",986,1,1,1,2
"987",987,1,2,4,1
"988",988,1,2,3,2
"989",989,1,1,2,1
"990",990,1,1,4,2
"991",991,7,1,2,1
"992",992,1,1,4,1
"993",993,7,1,4,1
"994",994,1,2,3,2
"995",995,5,1,1,2
"996",996,1,2,5,1
"997",997,2,2,2,1
"998",998,7,1,2,1
"999",999,1,1,6,2
"1000",1000,1,1,2,1
"1001",1001,1,2,2,1
"1002",1002,1,2,2,2
"1003",1003,1,1,5,2
"1004",1004,1,2,1,2
"1005",1005,7,2,4,2
"1006",1006,2,1,4,1
"1007",1007,7,2,4,2
"1008",1008,1,2,5,2
"1009",1009,7,2,4,1
"1010",1010,1,2,2,1
"1011",1011,1,2,3,1
"1012",1012,2,1,3,1
"1013",1013,1,2,2,1
"1014",1014,1,1,3,2
"1015",1015,1,1,2,2
"1016",1016,1,1,4,1
"1017",1017,1,2,6,1
"1018",1018,1,1,3,1
"1019",1019,1,1,5,2
"1020",1020,1,2,5,1
"1021",1021,6,1,1,2
"1022",1022,2,1,1,1
"1023",1023,1,2,1,2
"1024",1024,1,1,1,1
"1025",1025,1,1,3,2
"1026",1026,2,2,3,1
"1027",1027,1,1,4,1
"1028",1028,1,1,3,2
"1029",1029,1,1,6,1
"1030",1030,7,1,1,2
"1031",1031,1,1,4,2
"1032",1032,7,2,4,2
"1033",1033,1,2,4,2
"1034",1034,1,1,3,2
"1035",1035,1,1,4,1
"1036",1036,1,1,1,2
"1037",1037,5,2,4,2
"1038",1038,1,2,5,1
"1039",1039,1,1,2,1
"1040",1040,7,2,2,2
"1041",1041,1,2,3,2
"1042",1042,1,1,3,1
"1043",1043,2,2,2,1
"1044",1044,2,2,1,2
"1045",1045,1,1,2,1
"1046",1046,1,2,4,1
"1047",1047,1,2,2,2
"1048",1048,1,2,3,2
"1049",1049,1,2,4,2
"1050",1050,1,1,3,1
"1051",1051,1,2,1,2
"1052",1052,1,2,3,2
